Name,Runtime,Genre,IMDB,Director,Stars
Os Conselhos da Noite,121,Drama,6.6,José Oliveira,"Tiago Aldeia, Adolfo Luxúria Canibal, Marta Carvalho, Arlete de Sousa"
The Kissing Booth 2,134,"Comedy, Romance",5.8,Vince Marcello,"Joey King, Joel Courtney, Jacob Elordi, Molly Ringwald"
Time Apart,80,"Drama, Romance, Sci-Fi",4.2,Ric Forster,"Laneth Sffarlenn, Albert Goikhman, Siobhan Connors, Sean McIntyre"
Vì Anh Vẫn Tin,116,"Biography, Drama, Music",6.5,,"K.J. Apa, Britt Robertson, Nathan Parsons, Gary Sinise"
Broken Halos,91,"Drama, Thriller",8.8,Michael Kampa,"Brad Benedict, Connor Benedict, Brickland Carter, Lunden De'Leon"
By Night's End,85,"Crime, Thriller",6.8,Walker Whited,"Michelle Rose, Kurt Yue, Michael Aaron Milligan, Carlos Aviles"
The Winter Lake,92,"Drama, Thriller",8.0,Phil Sheerin,"Emma Mackey, Charlie Murphy, Mark McKenna, Michael McElhatton"
Aika jonka sain,104,Drama,6.1,Tuukka Temonen,"Anu Sinisalo, Inka Kallén, Tommi Eronen, Satu Silvo"
5 Chiến Hữu,154,"Adventure, Drama, War",6.5,Spike Lee,"Delroy Lindo, Jonathan Majors, Clarke Peters, Norm Lewis"
Maali,85,Drama,6.8,Ashwini Malik,"Prabhat Raghunandan, Swati Sen, Gaurav Sharma"
Bloody Hell,93,"Action, Horror, Mystery",6.2,Alister Grierson,"Ben O'Toole, Meg Fraser, Caroline Craig, Matthew Sunderland"
Kyuso Wa Chizu No Yume Wo Miru,131,Romance,6.2,Isao Yukisada,"Noriko Kijima, Ryô Narita, Tadayoshi Ohkura, Miyu Sakihi"
The Incredible Jake Parker,75,"Drama, Musical",8.6,Angelo Thomas,"Liam Wall, Sasha Jackson, Sarah Levitch, Lexi Langlois"
Nomadland,108,Drama,7.7,Chloé Zhao,"Frances McDormand, Gay DeForest, Patricia Grier, Linda May"
Bhangra Paa Le,131,"Comedy, Drama, Music",6.2,Sneha Taurani,"Sunny Kaushal, Rukshar Dhillon, Shriya Pilgaonkar, Parmeet Sethi"
1 Night in San Diego,85,Comedy,3.3,Penelope Lawson,"Jenna Ushkowitz, Donna Pieroni, Laura Ashley Samuels, Brian Borello"
We Make Antiques 2,106,Mystery,5.1,Masaharu Take,"Mitsuru Fukikoshi, Ryôko Hirosue, Jakujaku Katsura, Masaya Katô"
The Misadventures of Mistress Maneater,111,"Action, Comedy, Romance",3.8,C.J. Julianus,"Lorrisa Julianus, Mickey O'Sullivan, Shannon Brown, Molly Morgan"
Teenage Badass,98,Comedy,5.6,Grant McCord,"Jim Adkins, Tucker Audie, Rogelio Camarillo, Kevin Corrigan"
Baby,104,"Drama, Horror, Thriller",6.9,Juanma Bajo Ulloa,"Rosie Day, Harriet Sansom Harris, Natalia Tena, Mafalda Carbonell"
Star Trek: First Frontier,85,Sci-Fi,5.5,Kenneth Smith,"Robert Pralgo, Tara Ochs, Mark Ashworth, Paul Telfer"
Mi gran despedida,80,Drama,3.3,,"Jesús Castro, Miguel Ferrari, Eloína Marcos, Juanma Lara"
Silent Night,93,"Crime, Thriller",6.3,Will Thorne,"Bradley Taylor, Cary Crankson, Frank Harper, Nathaniel Martello-White"
The Available Wife,100,Drama,6.7,Jamal Hill,"Terayle Hill, Kj Smith, Clifton Powell, Brave Williams"
Icing on the Cake,86,"Drama, Romance",5.1,Ferguson Sauvé-Rogan,"Katrina Norman, Brad Benedict, Lexi Giovagnoli, Douglas Spain"
Jipuragirado japgo sipeun jimseungdeul,108,"Crime, Drama, Thriller",7.1,Yong-hoon Kim,"Jeon Do-yeon, Jung Woo-sung, Sung-Woo Bae, Man-sik Jeong"
Way Down,118,"Action, Adventure, Fantasy",7.7,Jaume Balagueró,"Famke Janssen, Freddie Highmore, Astrid Bergès-Frisbey, Sam Riley"
Helene,121,"Biography, Drama, History",6.5,Antti Jokinen,"Laura Birn, Johannes Holopainen, Krista Kosonen, Pirkko Saisio"
Kindred,101,"Drama, Horror, Mystery",4.7,Joe Marcantonio,"Chloe Pirrie, Fiona Shaw, Jack Lowden, Edward Holcroft"
Reunion,95,"Mystery, Thriller",7.4,Jake Mahaffy,"Julia Ormond, Emma Draper, John Bach, Nancy Brunning"
Slaxx,77,"Comedy, Horror",5.6,Elza Kephart,"Romane Denis, Brett Donahue, Sehar Bhojani, Kenny Wong"
Persian Lessons,127,Drama,7.0,Vadim Perelman,"Nahuel Pérez Biscayart, Lars Eidinger, Jonas Nay, David Schütter"
The World to Come,98,Drama,6.6,Mona Fastvold,"Katherine Waterston, Vanessa Kirby, Karina Ziana Gherasim, Christopher Abbott"
Bone Breaker,74,"Drama, Thriller",2.6,Nicholas Winter,"Lucy Aarden, Rachel Bright, Ian P Campbell, Jade Colucci"
Platzspitzbaby,98,Drama,7.3,Pierre Monnard,"Jerry Hoffmann, Luna Mwezi, Sarah Spale, Anouk Petri"
Taking Your Daughter,90,Thriller,4.7,Danny Buday,"Boti Bliss, Morgan Obenreder, Rebecca Marshall, Chad Brannon"
Wheels of Fortune,106,Comedy,5.4,Shaun Paul Piccinino,"Matt Jones, Jeff Fahey, Noureen DeWulf, John Ducey"
Little Fish,101,"Romance, Sci-Fi",7.1,Chad Hartigan,"Olivia Cooke, Jack O'Connell, Soko, Raúl Castillo"
Aline,128,Drama,6.3,Valérie Lemercier,"Valérie Lemercier, Sylvain Marcel, Danielle Fichaud, Roc LaFortune"
They're Outside,83,Horror,5.6,,"Emma Burdon-Sutton, Emily Booth, Brad Moore, Jon-Paul Gates"
Sublet,89,"Comedy, Drama, Romance",7.0,Eytan Fox,"John Benjamin Hickey, Niv Nissim, Lihi Kornowski, Miki Kam"
Playdurizm,88,"Drama, Fantasy, Horror",7.9,Gem Deger,"Austin Chunn, Gem Deger, Issy Stewart, Christopher Hugh James Adamson"
The Night House,108,"Horror, Thriller",6.7,David Bruckner,"Stacy Martin, Rebecca Hall, Evan Jonigkeit, Vondie Curtis-Hall"
I Met a Girl,108,"Drama, Romance",5.9,Luke Eve,"Brenton Thwaites, Lily Sullivan, Joel Jackson, Anita Hegh"
"Calamity, une enfance de Martha Jane Cannary",85,"Animation, Adventure, Family",7.5,Rémi Chayé,"Salomé Boulven, Alexandra Lamy, Alexis Tomassian, Jochen Hägele"
Heks,82,"Drama, Horror",5.8,Reine Swart,"Coco Lloyd, Mari Molefe van Heerden, Mary-Anne Barlow, Christopher Jaftha"
Summer of Mesa,76,"Drama, Romance",6.7,Josh Cox,"Andrea Granera, Molly Miles, Alec Bandzes, Patricia Ellis"
The One You Feed,86,"Drama, Thriller",3.2,Drew Harwood,"Rebecca Fraiser, Drew Harwood, Gareth Koorzen, Richard Watson"
Break Even,95,Action,5.4,Shane Stanley,"Tasya Teles, Steve Guttenberg, Joanna Pacula, James Callis"
Zárójelentés,118,Drama,6.0,István Szabó,"Klaus Maria Brandauer, Károly Eperjes, Dorottya Udvaros, András Stohl"
The Bee-eaters,85,Drama,8.6,K.T. Bird,"Matthew Gordon, Lily Edge, Kaine Zajaz, Robin Hooper"
Last Chancers,78,"Comedy, Crime",6.1,Phil Stubbs,"Ellis J. Wells, Harry Dyer, Lisa Ronaghan, Brian Croucher"
23 Walks,102,"Comedy, Drama, Romance",5.4,Paul Morrison,"Graham Cole, Bob Goody, Dave Johns, Marsha Millar"
