Title,Runtime,Genre,Rating,Directors,Stars
 117. Five Feet Apart (2019) ,116,"Drama, Romance",7.2,Justin Baldoni,"Haley Lu Richardson,Cole Sprouse,Moises Arias,Kimberly Hebert Gregory"
 118. Hellboy (2019) ,120,"Action, Adventure, Fantasy",5.2,Neil Marshall,"David Harbour,Milla Jovovich,Ian McShane,Sasha Lane"
 119. Dreamland (I) (2019) ,98,"Drama, Thriller",5.8,Miles Joris-Peyrafitte,"Finn Cole,Margot Robbie,Travis Fimmel,Kerry Condon"
 120. Pokémon: Detective Pikachu (2019) ,104,"Action, Adventure, Comedy",6.6,Rob Letterman,"Ryan Reynolds,Justice Smith,Kathryn Newton,Bill Nighy"
 121. Serenity (2019) ,106,"Drama, Mystery, Thriller",5.4,Steven Knight,"Matthew McConaughey,Anne Hathaway,Diane Lane,Jason Clarke"
 122. A Hidden Life (2019) ,174,"Biography, Drama, Romance",7.4,Terrence Malick,"August Diehl,Valerie Pachner,Maria Simon,Karin Neuhäuser"
 123. Black Christmas (2019) ,92,"Horror, Mystery, Thriller",3.3,Sophia Takal,"Imogen Poots,Aleyse Shannon,Lily Donoghue,Brittany O'Grady"
 124. Dora and the Lost City of Gold (2019) ,102,"Adventure, Comedy, Family",6.1,James Bobin,"Isabela Merced,Eugenio Derbez,Michael Peña,Eva Longoria"
 125. Cold Pursuit (2019) ,119,"Action, Crime, Drama",6.2,Hans Petter Moland,"Liam Neeson,Laura Dern,Micheál Richardson,Michael Eklund"
 126. True History of the Kelly Gang (2019) ,124,"Biography, Crime, Drama",6.0,Justin Kurzel,"George MacKay,Essie Davis,Nicholas Hoult,Ben Corbett"
 127. Lady and the Tramp (2019) ,111,"Adventure, Comedy, Drama",6.3,Charlie Bean,"Tessa Thompson,Justin Theroux,Sam Elliott,Ashley Jensen"
 128. Radioactive (2019) ,109,"Biography, Drama, Romance",6.2,Marjane Satrapi,"Rosamund Pike,Yvette Feuer,Mirjam Novak,Ralph Berkin"
 129. The Mortuary Collection (2019) ,108,"Fantasy, Horror",6.5,Ryan Spindell,"Tristan Byon,Eden Campbell,Hannah R. Loyd,Clancy Brown"
 130. The Climb (2019) ,98,"Comedy, Drama",6.9,Michael Angelo Covino,"Michael Angelo Covino,Kyle Marvin,Gayle Rankin,Judith Godrèche"
 131. Christmas in the Wild (2019) ,85,"Comedy, Drama, Romance",6.1,Ernie Barbarash,"Rob Lowe,Kristin Davis,Fezile Mpela,John Owen Lowe"
 132. The Lego Movie 2: The Second Part (2019) ,107,"Animation, Action, Adventure",6.6,Mike Mitchell,"Chris Pratt,Elizabeth Banks,Will Arnett,Tiffany Haddish"
 133. The Laundromat (I) (2019) ,95,"Comedy, Crime, Drama",6.3,Steven Soderbergh,"Gary Oldman,Antonio Banderas,AJ Meijer,Arsenio Castellanos"
 134. The Poison Rose (2019) ,98,Thriller,4.7,"Francesco Cinquemani,George Gallo","John Travolta,Morgan Freeman,Brendan Fraser,Famke Janssen"
 135. Operation Brothers (2019) ,129,"Drama, History, Thriller",6.6,Gideon Raff,"Mbulelo Grootboom,Sizo Mahlangu,Michael Kenneth Williams,Masasa Mbangeni"
 136. Rambo: Last Blood (2019) ,89,"Action, Thriller",6.1,Adrian Grunberg,"Sylvester Stallone,Paz Vega,Sergio Peris-Mencheta,Adriana Barraza"
 137. Ma (2019) ,99,"Horror, Mystery, Thriller",5.6,Tate Taylor,"Octavia Spencer,Diana Silvers,Juliette Lewis,McKaley Miller"
 138. The Two Popes (2019) ,125,"Biography, Comedy, Drama",7.6,Fernando Meirelles,"Anthony Hopkins,Jonathan Pryce,Juan Minujín,Luis Gnecco"
 139. The Hustle (I) (2019) ,93,"Comedy, Crime",5.4,Chris Addison,"Anne Hathaway,Rebel Wilson,Alex Sharp,Tim Blake Nelson"
 140. Captive State (2019) ,109,"Action, Horror, Sci-Fi",6.0,Rupert Wyatt,"John Goodman,Ashton Sanders,Jonathan Majors,Vera Farmiga"
 141. Waves (I) (2019) ,135,"Drama, Romance, Sport",7.6,Trey Edward Shults,"Kelvin Harrison Jr.,Lucas Hedges,Taylor Russell,Alexa Demie"
 142. Dronningen (2019) ,127,Drama,7.2,May el-Toukhy,"Trine Dyrholm,Gustav Lindh,Magnus Krepper,Liv Esmår Dannemann"
 143. 7500 (2019) ,93,"Action, Drama, Thriller",6.3,Patrick Vollrath,"Joseph Gordon-Levitt,Omid Memar,Aylin Tezel,Carlo Kitzlinger"
 144. The Last Full Measure (2019) ,116,"Drama, War",6.7,Todd Robinson,"Sebastian Stan,Alison Sudol,Asher Miles Fallica,LisaGay Hamilton"
 145. Fisherman's Friends (2019) ,112,"Comedy, Drama, Family",7.0,Chris Foggin,"James Purefoy,Meadow Nobrega,David Hayman,Maggie Steed"
 146. Blow the Man Down (2019) ,91,"Comedy, Drama, Mystery",6.4,"Bridget Savage Cole,Danielle Krudy","David Coffin,David Pridemore,Adam Wolf Mayerson,Mark S. Cartier"
 147. Infidel (2019) ,108,"Action, Adventure, Thriller",5.8,Cyrus Nowrasteh,"Jim Caviezel,Claudia Karvan,Hal Ozsan,Stelio Savante"
 148. Queen & Slim (2019) ,132,"Crime, Drama, Romance",7.1,Melina Matsoukas,"Daniel Kaluuya,Jodie Turner-Smith,Bokeem Woodbine,Chloë Sevigny"
 149. I Am Mother (2019) ,113,"Drama, Mystery, Sci-Fi",6.7,Grant Sputore,"Luke Hawker,Rose Byrne,Maddie Lenton,Hazel Sandery"
 150. The Friend (I) (2019) ,124,Drama,7.3,Gabriela Cowperthwaite,"Dakota Johnson,Gwendoline Christie,Casey Affleck,Jason Segel"
 151. The Knight Before Christmas (2019) ,92,"Adventure, Comedy, Drama",5.5,Monika Mitchell,"Vanessa Hudgens,Josh Whitehouse,Emmanuelle Chriqui,Ella Kenion"
 152. The Secret Life of Pets 2 (2019) ,86,"Animation, Adventure, Comedy",6.5,"Chris Renaud,Jonathan del Val","Patton Oswalt,Kevin Hart,Harrison Ford,Eric Stonestreet"
